Симптоми,Диагноза,Предотвратяване
"Безсъние, Настинка, Сърцебиене",Алергия,"Редовни прегледи при лекар, Често миене на ръце"
"Загуба на апетит, Кашлица, Отпадналост",Менингит,"Спиране на тютюнопушенето, Избягване на тежка храна"
"Стомашни болки, Затруднено преглъщане, Хрема",Хранително отравяне,"Приемане на лекарства по предписание, Ваксинация"
"Повръщане, Главоболие, Болки в мускулите",Пневмония,"Приемане на лекарства по предписание, Често миене на ръце"
"Хрема, Загуба на апетит, Болки в мускулите",Инфаркт,"Избягване на тежка храна, Редовни физически упражнения"
"Сърцебиене, Болки в мускулите, Загуба на апетит",Инфаркт,"Контрол на кръвната захар, Добро обличане през зимата"
"Болки в ставите, Хрема, Стомашни болки",Пневмония,"Приемане на витамини, Спиране на тютюнопушенето"
"Затруднено преглъщане, Замаяност, Болки в ставите",Псориазис,"Добро обличане през зимата, Спиране на тютюнопушенето"
"Задух, Загуба на апетит, Болка в гърлото",Артрит,"Поддържане на нормално тегло, Редовни физически упражнения"
"Затруднено преглъщане, Хрема, Главоболие",Хранително отравяне,"Редовни физически упражнения, Контрол на кръвната захар"
"Отпадналост, Стомашни болки, Задух",Псориазис,"Приемане на витамини, Приемане на лекарства по предписание"
"Отпадналост, Настинка, Треска",Настинка,"Ваксинация, Често миене на ръце"
"Диария, Кожен обрив, Кашлица",Гастрит,"Често миене на ръце, Ваксинация"
"Загуба на апетит, Диария, Болка в гърлото",Менингит,"Ваксинация, Често миене на ръце"
"Повръщане, Главоболие, Болки в ставите",Хипертония,"Редовно проветряване на помещенията, Избягване на прекомерна употреба на алкохол"
"Затруднено преглъщане, Кожен обрив, Главоболие",Артрит,"Редовни физически упражнения, Здравословен сън"
"Болки в ставите, Кашлица, Диария",Пневмония,"Здравословен сън, Избягване на контакт със заразени лица"
"Затруднено преглъщане, Болки в мускулите, Кашлица",Сърдечна недостатъчност,"Избягване на прекомерна физическа активност, Здравословен сън"
"Стомашни болки, Повръщане, Сърцебиене",Сърдечна недостатъчност,"Избягване на тежка храна, Спиране на тютюнопушенето"
"Треска, Болки в мускулите, Диария",Депресия,"Редовни физически упражнения, Често миене на ръце"
"Кожен обрив, Загуба на апетит, Хрема",Настинка,"Избягване на прекомерна физическа активност, Редовни прегледи при лекар"
"Главоболие, Загуба на апетит, Болка в гърлото",Настинка,"Почивка и хидратация, Редовни физически упражнения"
"Кашлица, Задух, Безсъние",Синдром на раздразнените черва,"Почивка и хидратация, Избягване на прекомерна физическа активност"
"Треска, Сърцебиене, Безсъние",Астма,"Избягване на алергени, Избягване на стрес"
"Главоболие, Безсъние, Хрема",Бронхит,"Добро обличане през зимата, Здравословен сън"
"Отпадналост, Болка в гърлото, Сърцебиене",Настинка,"Избягване на прекомерна употреба на алкохол, Почивка и хидратация"
"Главоболие, Диария, Кожен обрив",Диабет,"Често миене на ръце, Избягване на прекомерна физическа активност"
"Диария, Кожен обрив, Безсъние",Менингит,"Приемане на витамини, Здравословен сън"
"Отпадналост, Високо кръвно налягане, Затруднено преглъщане",Гастрит,"Здравословна диета, Редовни прегледи при лекар"
"Високо кръвно налягане, Задух, Сърцебиене",Бронхит,"Често миене на ръце, Здравословен сън"
"Затруднено преглъщане, Отпадналост, Кашлица",Менингит,"Избягване на стрес, Здравословен сън"
"Загуба на апетит, Задух, Болки в ставите",Анемия,"Избягване на стрес, Често миене на ръце"
"Загуба на апетит, Отпадналост, Сърцебиене",Хепатит,"Приемане на лекарства по предписание, Редовни прегледи при лекар"
"Диария, Стомашни болки, Замаяност",Алергия,"Избягване на алергени, Спиране на тютюнопушенето"
"Кожен обрив, Затруднено преглъщане, Повръщане",Мигрена,"Приемане на лекарства по предписание, Избягване на прекомерна физическа активност"
"Затруднено преглъщане, Загуба на апетит, Безсъние",Настинка,"Избягване на стрес, Избягване на прекомерна физическа активност"
"Кашлица, Болки в мускулите, Високо кръвно налягане",Хепатит,"Здравословна диета, Избягване на стрес"
"Болки в ставите, Затруднено преглъщане, Настинка",Хранително отравяне,"Приемане на витамини, Спиране на тютюнопушенето"
"Затруднено преглъщане, Безсъние, Хрема",Грип,"Избягване на тежка храна, Добро обличане през зимата"
"Болки в ставите, Затруднено преглъщане, Болка в гърлото",Хранително отравяне,"Здравословен сън, Редовни прегледи при лекар"
"Отпадналост, Високо кръвно налягане, Замаяност",Диабет,"Приемане на витамини, Приемане на лекарства по предписание"
"Затруднено преглъщане, Болки в мускулите, Сърцебиене",Артрит,"Редовни прегледи при лекар, Здравословен сън"
"Главоболие, Безсъние, Настинка",Менингит,"Избягване на стрес, Избягване на алергени"
"Кожен обрив, Болка в гърлото, Хрема",Астма,"Избягване на стрес, Често миене на ръце"
"Диария, Кожен обрив, Болка в гърлото",Гастрит,"Здравословна диета, Избягване на алергени"
"Главоболие, Болки в ставите, Настинка",Настинка,"Избягване на прекомерна физическа активност, Редовни прегледи при лекар"
"Загуба на апетит, Настинка, Стомашни болки",Сърдечна недостатъчност,"Често миене на ръце, Здравословен сън"
"Кожен обрив, Хрема, Сърцебиене",Артрит,"Редовни физически упражнения, Добро обличане през зимата"
"Загуба на апетит, Отпадналост, Настинка",Артрит,"Редовни физически упражнения, Спиране на тютюнопушенето"
"Загуба на апетит, Безсъние, Отпадналост",Диабет,"Избягване на тежка храна, Редовни физически упражнения"
"Безсъние, Замаяност, Повръщане",Мигрена,"Избягване на прекомерна употреба на алкохол, Здравословен сън"
"Отпадналост, Кожен обрив, Треска",Настинка,"Поддържане на нормално тегло, Избягване на прекомерна употреба на алкохол"
"Задух, Сърцебиене, Замаяност",Артрит,"Избягване на контакт със заразени лица, Избягване на алергени"
"Настинка, Болка в гърлото, Кожен обрив",Мигрена,"Избягване на стрес, Ваксинация"
"Кашлица, Задух, Хрема",Менингит,"Поддържане на нормално тегло, Ваксинация"
"Повръщане, Болки в мускулите, Болка в гърлото",Астма,"Поддържане на нормално тегло, Приемане на лекарства по предписание"
"Главоболие, Повръщане, Кашлица",Артрит,"Добро обличане през зимата, Приемане на витамини"
"Хрема, Задух, Диария",Грип,"Добро обличане през зимата, Ваксинация"
"Треска, Стомашни болки, Загуба на апетит",Хипертония,"Поддържане на нормално тегло, Редовни прегледи при лекар"
"Болки в мускулите, Хрема, Болки в ставите",Бронхит,"Избягване на контакт със заразени лица, Почивка и хидратация"
"Болки в мускулите, Стомашни болки, Повръщане",Инфаркт,"Контрол на кръвната захар, Избягване на контакт със заразени лица"
"Сърцебиене, Треска, Задух",Алергия,"Избягване на тежка храна, Избягване на контакт със заразени лица"
"Болка в гърлото, Високо кръвно налягане, Кожен обрив",Менингит,"Често миене на ръце, Редовни прегледи при лекар"
"Кашлица, Главоболие, Диария",Менингит,"Приемане на витамини, Спиране на тютюнопушенето"
"Задух, Стомашни болки, Болка в гърлото",Менингит,"Почивка и хидратация, Редовно проветряване на помещенията"
"Главоболие, Хрема, Задух",Пневмония,"Избягване на стрес, Контрол на кръвната захар"
"Кожен обрив, Хрема, Повръщане",Хранително отравяне,"Ваксинация, Избягване на прекомерна физическа активност"
"Болки в ставите, Замаяност, Хрема",Алергия,"Здравословен сън, Добро обличане през зимата"
"Високо кръвно налягане, Задух, Затруднено преглъщане",Менингит,"Контрол на кръвната захар, Избягване на прекомерна физическа активност"
"Отпадналост, Кашлица, Повръщане",Инфаркт,"Поддържане на нормално тегло, Контрол на кръвната захар"
"Болка в гърлото, Сърцебиене, Хрема",Хранително отравяне,"Често миене на ръце, Приемане на витамини"
"Сърцебиене, Настинка, Треска",Диабет,"Редовни физически упражнения, Приемане на витамини"
"Затруднено преглъщане, Кашлица, Болка в гърлото",Хипертония,"Поддържане на нормално тегло, Приемане на витамини"
"Диария, Хрема, Отпадналост",Гастрит,"Спиране на тютюнопушенето, Добро обличане през зимата"
"Диария, Отпадналост, Болки в ставите",Менингит,"Здравословна диета, Почивка и хидратация"
"Кожен обрив, Високо кръвно налягане, Задух",Грип,"Приемане на лекарства по предписание, Здравословен сън"
"Затруднено преглъщане, Кашлица, Повръщане",Гастрит,"Редовно проветряване на помещенията, Поддържане на нормално тегло"
"Стомашни болки, Отпадналост, Високо кръвно налягане",Менингит,"Избягване на контакт със заразени лица, Избягване на тежка храна"
"Кашлица, Загуба на апетит, Задух",Синдром на раздразнените черва,"Редовно проветряване на помещенията, Избягване на прекомерна физическа активност"
"Болки в ставите, Замаяност, Диария",Мигрена,"Редовно проветряване на помещенията, Добро обличане през зимата"
"Болки в мускулите, Задух, Отпадналост",Бронхит,"Избягване на контакт със заразени лица, Здравословна диета"
"Задух, Отпадналост, Стомашни болки",Артрит,"Редовно проветряване на помещенията, Често миене на ръце"
"Безсъние, Загуба на апетит, Болка в гърлото",Астма,"Почивка и хидратация, Приемане на витамини"
"Болка в гърлото, Кашлица, Главоболие",Гастрит,"Избягване на контакт със заразени лица, Избягване на прекомерна физическа активност"
"Стомашни болки, Повръщане, Замаяност",Астма,"Често миене на ръце, Контрол на кръвната захар"
"Безсъние, Кожен обрив, Болки в мускулите",Диабет,"Редовни физически упражнения, Приемане на лекарства по предписание"
"Затруднено преглъщане, Сърцебиене, Отпадналост",Настинка,"Поддържане на нормално тегло, Здравословна диета"
"Стомашни болки, Главоболие, Сърцебиене",Менингит,"Здравословна диета, Поддържане на нормално тегло"
"Замаяност, Настинка, Стомашни болки",Хранително отравяне,"Спиране на тютюнопушенето, Редовни физически упражнения"
"Отпадналост, Затруднено преглъщане, Загуба на апетит",Диабет,"Поддържане на нормално тегло, Приемане на витамини"
"Кашлица, Стомашни болки, Високо кръвно налягане",Хипертония,"Ваксинация, Спиране на тютюнопушенето"
"Болки в мускулите, Хрема, Кашлица",Гастрит,"Избягване на стрес, Добро обличане през зимата"
"Хрема, Кашлица, Кожен обрив",Сърдечна недостатъчност,"Избягване на прекомерна физическа активност, Редовни физически упражнения"
"Повръщане, Кашлица, Замаяност",Бронхит,"Почивка и хидратация, Избягване на стрес"
"Отпадналост, Болки в мускулите, Задух",Пневмония,"Често миене на ръце, Контрол на кръвната захар"
"Кашлица, Задух, Отпадналост",Астма,"Избягване на прекомерна физическа активност, Избягване на тежка храна"
"Стомашни болки, Затруднено преглъщане, Кашлица",Астма,"Избягване на прекомерна физическа активност, Ваксинация"
"Болки в мускулите, Настинка, Кожен обрив",Пневмония,"Избягване на прекомерна употреба на алкохол, Здравословен сън"
"Замаяност, Сърцебиене, Отпадналост",Настинка,"Приемане на витамини, Избягване на прекомерна физическа активност"
"Болки в мускулите, Болки в ставите, Замаяност",Пневмония,"Избягване на тежка храна, Здравословен сън"
"Треска, Кашлица, Диария",Синдром на раздразнените черва,"Добро обличане през зимата, Редовно проветряване на помещенията"
"Болки в мускулите, Замаяност, Високо кръвно налягане",Алергия,"Избягване на стрес, Избягване на тежка храна"
"Замаяност, Треска, Сърцебиене",Менингит,"Избягване на прекомерна употреба на алкохол, Приемане на витамини"
"Загуба на апетит, Треска, Болки в ставите",Хранително отравяне,"Избягване на тежка храна, Редовно проветряване на помещенията"
"Стомашни болки, Повръщане, Хрема",Синдром на раздразнените черва,"Избягване на алергени, Здравословен сън"
"Настинка, Затруднено преглъщане, Хрема",Инфаркт,"Приемане на лекарства по предписание, Приемане на витамини"
"Хрема, Високо кръвно налягане, Повръщане",Хранително отравяне,"Редовни прегледи при лекар, Избягване на стрес"
"Хрема, Високо кръвно налягане, Замаяност",Псориазис,"Здравословна диета, Избягване на прекомерна физическа активност"
"Високо кръвно налягане, Настинка, Сърцебиене",Астма,"Добро обличане през зимата, Ваксинация"
"Безсъние, Повръщане, Хрема",Синдром на раздразнените черва,"Избягване на тежка храна, Редовни физически упражнения"
"Настинка, Хрема, Повръщане",Мигрена,"Избягване на прекомерна физическа активност, Здравословен сън"
"Сърцебиене, Главоболие, Настинка",Сърдечна недостатъчност,"Често миене на ръце, Спиране на тютюнопушенето"
"Безсъние, Стомашни болки, Замаяност",Инфаркт,"Избягване на контакт със заразени лица, Приемане на лекарства по предписание"
"Задух, Сърцебиене, Високо кръвно налягане",Диабет,"Избягване на стрес, Често миене на ръце"
"Болка в гърлото, Сърцебиене, Кашлица",Астма,"Ваксинация, Избягване на тежка храна"
"Високо кръвно налягане, Отпадналост, Задух",Хепатит,"Приемане на лекарства по предписание, Спиране на тютюнопушенето"
"Задух, Сърцебиене, Загуба на апетит",Мигрена,"Приемане на витамини, Избягване на тежка храна"
"Хрема, Повръщане, Сърцебиене",Настинка,"Избягване на тежка храна, Избягване на стрес"
"Високо кръвно налягане, Болки в мускулите, Болки в ставите",Анемия,"Поддържане на нормално тегло, Спиране на тютюнопушенето"
"Треска, Повръщане, Високо кръвно налягане",Депресия,"Избягване на контакт със заразени лица, Ваксинация"
"Загуба на апетит, Задух, Кашлица",Хранително отравяне,"Здравословна диета, Избягване на стрес"
"Загуба на апетит, Болка в гърлото, Стомашни болки",Хепатит,"Поддържане на нормално тегло, Редовни физически упражнения"
"Повръщане, Главоболие, Сърцебиене",Гастрит,"Поддържане на нормално тегло, Често миене на ръце"
"Треска, Болки в ставите, Замаяност",Менингит,"Поддържане на нормално тегло, Приемане на витамини"
"Диария, Болки в ставите, Отпадналост",Менингит,"Поддържане на нормално тегло, Избягване на контакт със заразени лица"
"Болки в ставите, Болка в гърлото, Безсъние",Хепатит,"Приемане на лекарства по предписание, Редовни физически упражнения"
"Треска, Кожен обрив, Настинка",Пневмония,"Избягване на тежка храна, Редовно проветряване на помещенията"
"Стомашни болки, Хрема, Замаяност",Настинка,"Добро обличане през зимата, Избягване на тежка храна"
"Стомашни болки, Кашлица, Загуба на апетит",Псориазис,"Избягване на тежка храна, Приемане на витамини"
"Кашлица, Повръщане, Стомашни болки",Мигрена,"Контрол на кръвната захар, Редовни физически упражнения"
"Главоболие, Хрема, Кожен обрив",Настинка,"Редовно проветряване на помещенията, Здравословен сън"
"Кожен обрив, Отпадналост, Настинка",Артрит,"Ваксинация, Контрол на кръвната захар"
"Стомашни болки, Високо кръвно налягане, Отпадналост",Бронхит,"Редовни прегледи при лекар, Избягване на стрес"
"Стомашни болки, Високо кръвно налягане, Отпадналост",Менингит,"Ваксинация, Приемане на лекарства по предписание"
"Настинка, Високо кръвно налягане, Безсъние",Хепатит,"Избягване на прекомерна физическа активност, Ваксинация"
"Кожен обрив, Задух, Главоболие",Хранително отравяне,"Избягване на алергени, Ваксинация"
"Настинка, Затруднено преглъщане, Високо кръвно налягане",Настинка,"Избягване на алергени, Редовни физически упражнения"
"Хрема, Задух, Сърцебиене",Настинка,"Здравословна диета, Ваксинация"
"Стомашни болки, Задух, Диария",Менингит,"Добро обличане през зимата, Приемане на лекарства по предписание"
"Диария, Отпадналост, Треска",Хепатит,"Здравословна диета, Поддържане на нормално тегло"
"Настинка, Треска, Затруднено преглъщане",Хипертония,"Избягване на контакт със заразени лица, Редовни физически упражнения"
"Безсъние, Загуба на апетит, Кашлица",Менингит,"Избягване на тежка храна, Редовни физически упражнения"
"Високо кръвно налягане, Повръщане, Загуба на апетит",Сърдечна недостатъчност,"Здравословен сън, Ваксинация"
"Безсъние, Главоболие, Затруднено преглъщане",Алергия,"Редовни физически упражнения, Контрол на кръвната захар"
"Кожен обрив, Безсъние, Болки в мускулите",Сърдечна недостатъчност,"Редовни прегледи при лекар, Избягване на алергени"
"Сърцебиене, Загуба на апетит, Треска",Гастрит,"Редовни прегледи при лекар, Здравословен сън"
"Треска, Безсъние, Кашлица",Алергия,"Здравословна диета, Здравословен сън"
"Настинка, Главоболие, Диария",Псориазис,"Редовни физически упражнения, Приемане на витамини"
"Хрема, Кашлица, Повръщане",Алергия,"Редовни прегледи при лекар, Избягване на прекомерна физическа активност"
"Болки в мускулите, Задух, Треска",Депресия,"Редовни физически упражнения, Здравословен сън"
"Кашлица, Главоболие, Замаяност",Синдром на раздразнените черва,"Приемане на витамини, Избягване на контакт със заразени лица"
"Хрема, Сърцебиене, Диария",Депресия,"Избягване на прекомерна употреба на алкохол, Приемане на лекарства по предписание"
"Стомашни болки, Затруднено преглъщане, Замаяност",Диабет,"Избягване на стрес, Избягване на прекомерна физическа активност"
"Настинка, Болки в мускулите, Болки в ставите",Хипертония,"Избягване на алергени, Избягване на прекомерна физическа активност"
"Настинка, Безсъние, Повръщане",Бронхит,"Избягване на прекомерна физическа активност, Редовни прегледи при лекар"
"Повръщане, Замаяност, Сърцебиене",Диабет,"Избягване на алергени, Избягване на прекомерна физическа активност"
"Болки в мускулите, Болка в гърлото, Стомашни болки",Анемия,"Спиране на тютюнопушенето, Здравословна диета"
"Задух, Диария, Хрема",Астма,"Избягване на прекомерна употреба на алкохол, Ваксинация"
"Болки в ставите, Повръщане, Затруднено преглъщане",Хипертония,"Приемане на лекарства по предписание, Избягване на контакт със заразени лица"
"Диария, Задух, Повръщане",Мигрена,"Избягване на тежка храна, Често миене на ръце"
"Болки в ставите, Кожен обрив, Безсъние",Гастрит,"Приемане на витамини, Редовно проветряване на помещенията"
"Настинка, Затруднено преглъщане, Високо кръвно налягане",Артрит,"Добро обличане през зимата, Избягване на стрес"
"Главоболие, Отпадналост, Затруднено преглъщане",Сърдечна недостатъчност,"Редовни прегледи при лекар, Спиране на тютюнопушенето"
"Безсъние, Болки в мускулите, Кашлица",Грип,"Контрол на кръвната захар, Добро обличане през зимата"
"Отпадналост, Стомашни болки, Болки в ставите",Инфаркт,"Здравословна диета, Спиране на тютюнопушенето"
"Загуба на апетит, Настинка, Хрема",Алергия,"Поддържане на нормално тегло, Често миене на ръце"
"Главоболие, Диария, Високо кръвно налягане",Артрит,"Ваксинация, Здравословна диета"
"Замаяност, Хрема, Треска",Менингит,"Избягване на контакт със заразени лица, Ваксинация"
"Болки в мускулите, Сърцебиене, Стомашни болки",Диабет,"Спиране на тютюнопушенето, Добро обличане през зимата"
"Кожен обрив, Отпадналост, Повръщане",Менингит,"Избягване на контакт със заразени лица, Ваксинация"
"Главоболие, Хрема, Треска",Хипертония,"Контрол на кръвната захар, Избягване на тежка храна"
"Болка в гърлото, Кашлица, Затруднено преглъщане",Сърдечна недостатъчност,"Редовни прегледи при лекар, Поддържане на нормално тегло"
"Отпадналост, Загуба на апетит, Кашлица",Гастрит,"Избягване на тежка храна, Редовни физически упражнения"
"Загуба на апетит, Главоболие, Кашлица",Мигрена,"Здравословна диета, Поддържане на нормално тегло"
"Сърцебиене, Отпадналост, Кашлица",Депресия,"Редовни физически упражнения, Ваксинация"
"Стомашни болки, Безсъние, Кашлица",Грип,"Спиране на тютюнопушенето, Добро обличане през зимата"
"Загуба на апетит, Настинка, Болки в мускулите",Астма,"Почивка и хидратация, Здравословна диета"
"Кашлица, Главоболие, Настинка",Настинка,"Контрол на кръвната захар, Здравословна диета"
"Повръщане, Задух, Замаяност",Хранително отравяне,"Добро обличане през зимата, Избягване на прекомерна физическа активност"
"Задух, Кожен обрив, Стомашни болки",Гастрит,"Здравословен сън, Редовни прегледи при лекар"
"Високо кръвно налягане, Повръщане, Отпадналост",Артрит,"Избягване на тежка храна, Поддържане на нормално тегло"
"Треска, Стомашни болки, Болка в гърлото",Хепатит,"Избягване на прекомерна физическа активност, Избягване на контакт със заразени лица"
"Загуба на апетит, Замаяност, Задух",Настинка,"Здравословен сън, Почивка и хидратация"
"Високо кръвно налягане, Задух, Болки в ставите",Менингит,"Приемане на витамини, Приемане на лекарства по предписание"
"Болки в мускулите, Безсъние, Загуба на апетит",Синдром на раздразнените черва,"Здравословна диета, Редовно проветряване на помещенията"
"Замаяност, Главоболие, Болки в мускулите",Мигрена,"Редовно проветряване на помещенията, Често миене на ръце"
"Треска, Стомашни болки, Повръщане",Менингит,"Контрол на кръвната захар, Избягване на прекомерна употреба на алкохол"
"Задух, Затруднено преглъщане, Хрема",Настинка,"Приемане на витамини, Приемане на лекарства по предписание"
"Стомашни болки, Хрема, Настинка",Депресия,"Често миене на ръце, Избягване на алергени"
"Хрема, Болки в ставите, Треска",Гастрит,"Редовно проветряване на помещенията, Почивка и хидратация"
"Задух, Кашлица, Замаяност",Сърдечна недостатъчност,"Здравословна диета, Избягване на алергени"
"Главоболие, Затруднено преглъщане, Диария",Мигрена,"Приемане на витамини, Почивка и хидратация"
"Кашлица, Замаяност, Болки в ставите",Пневмония,"Добро обличане през зимата, Здравословен сън"
"Кашлица, Замаяност, Отпадналост",Хранително отравяне,"Избягване на тежка храна, Здравословен сън"
"Повръщане, Стомашни болки, Треска",Хепатит,"Поддържане на нормално тегло, Почивка и хидратация"
"Отпадналост, Безсъние, Повръщане",Настинка,"Избягване на контакт със заразени лица, Здравословна диета"
"Затруднено преглъщане, Треска, Главоболие",Хипертония,"Здравословен сън, Избягване на стрес"
"Кашлица, Загуба на апетит, Отпадналост",Алергия,"Почивка и хидратация, Редовно проветряване на помещенията"
"Сърцебиене, Високо кръвно налягане, Болка в гърлото",Хепатит,"Избягване на стрес, Избягване на тежка храна"
"Треска, Главоболие, Безсъние",Анемия,"Поддържане на нормално тегло, Редовни физически упражнения"
"Хрема, Кожен обрив, Диария",Грип,"Спиране на тютюнопушенето, Почивка и хидратация"
"Кожен обрив, Диария, Безсъние",Хранително отравяне,"Избягване на тежка храна, Добро обличане през зимата"
"Задух, Кожен обрив, Кашлица",Диабет,"Приемане на лекарства по предписание, Редовно проветряване на помещенията"
"Повръщане, Безсъние, Кашлица",Менингит,"Редовни физически упражнения, Редовно проветряване на помещенията"
"Кашлица, Треска, Кожен обрив",Сърдечна недостатъчност,"Здравословна диета, Редовни физически упражнения"
"Кожен обрив, Болки в ставите, Високо кръвно налягане",Хепатит,"Избягване на тежка храна, Често миене на ръце"
"Затруднено преглъщане, Болки в мускулите, Настинка",Артрит,"Ваксинация, Избягване на прекомерна употреба на алкохол"
"Сърцебиене, Повръщане, Замаяност",Гастрит,"Ваксинация, Избягване на стрес"
"Повръщане, Задух, Безсъние",Артрит,"Избягване на тежка храна, Редовно проветряване на помещенията"
"Стомашни болки, Затруднено преглъщане, Настинка",Хипертония,"Избягване на тежка храна, Здравословен сън"
"Затруднено преглъщане, Стомашни болки, Сърцебиене",Синдром на раздразнените черва,"Добро обличане през зимата, Спиране на тютюнопушенето"
"Треска, Безсъние, Настинка",Бронхит,"Почивка и хидратация, Избягване на прекомерна употреба на алкохол"
"Задух, Диария, Повръщане",Грип,"Приемане на витамини, Избягване на тежка храна"
"Повръщане, Кашлица, Настинка",Пневмония,"Приемане на лекарства по предписание, Ваксинация"
"Кожен обрив, Задух, Хрема",Диабет,"Избягване на прекомерна употреба на алкохол, Избягване на стрес"
"Повръщане, Болка в гърлото, Затруднено преглъщане",Гастрит,"Приемане на лекарства по предписание, Избягване на контакт със заразени лица"
"Стомашни болки, Кашлица, Диария",Синдром на раздразнените черва,"Спиране на тютюнопушенето, Почивка и хидратация"
"Хрема, Болки в ставите, Треска",Менингит,"Здравословен сън, Ваксинация"
"Сърцебиене, Болки в ставите, Кашлица",Инфаркт,"Здравословна диета, Почивка и хидратация"
"Треска, Хрема, Кашлица",Алергия,"Почивка и хидратация, Приемане на витамини"
"Болка в гърлото, Задух, Високо кръвно налягане",Депресия,"Контрол на кръвната захар, Почивка и хидратация"
"Високо кръвно налягане, Задух, Главоболие",Синдром на раздразнените черва,"Редовно проветряване на помещенията, Избягване на алергени"
"Болки в мускулите, Настинка, Безсъние",Хранително отравяне,"Избягване на алергени, Редовни прегледи при лекар"
"Болки в ставите, Замаяност, Сърцебиене",Настинка,"Почивка и хидратация, Редовни физически упражнения"
"Треска, Болка в гърлото, Загуба на апетит",Хипертония,"Избягване на тежка храна, Редовни прегледи при лекар"
"Задух, Болки в ставите, Кашлица",Пневмония,"Често миене на ръце, Приемане на лекарства по предписание"
"Безсъние, Болки в ставите, Болка в гърлото",Хепатит,"Редовни физически упражнения, Редовно проветряване на помещенията"
"Болка в гърлото, Болки в ставите, Болки в мускулите",Настинка,"Добро обличане през зимата, Избягване на стрес"
"Безсъние, Загуба на апетит, Стомашни болки",Пневмония,"Ваксинация, Избягване на стрес"
"Високо кръвно налягане, Затруднено преглъщане, Стомашни болки",Анемия,"Избягване на тежка храна, Контрол на кръвната захар"
"Хрема, Задух, Отпадналост",Менингит,"Избягване на прекомерна физическа активност, Почивка и хидратация"
"Настинка, Диария, Болки в мускулите",Артрит,"Избягване на прекомерна физическа активност, Редовни прегледи при лекар"
"Загуба на апетит, Кашлица, Болка в гърлото",Гастрит,"Поддържане на нормално тегло, Приемане на витамини"
"Хрема, Отпадналост, Сърцебиене",Астма,"Редовно проветряване на помещенията, Ваксинация"
"Хрема, Настинка, Сърцебиене",Анемия,"Приемане на витамини, Контрол на кръвната захар"
